73211	2368819	
917625	2368819	
991136	2368819	
1003729	2368819	
1368481	2368819	
1217760	2368819	
1131817	2368819	
1331123	2368819	
1180667	2368819	
1545156	2368819	
1353437	2368819	
1263616	2368819	
1223460	2368819	
1224213	2368819	
1316921	2368819	
1398761	2368819	
1288378	2368819	
1363485	2368819	
1385446	2368819	
1356581	2368819	
1356909	2368819	
1357167	2368819	
1358777	2368819	
1411259	2368819	
1411269	2368819	
1411270	2368819	
1411495	2368819	
1483021	2368819	
1415995	2368819	
1644647	2368819	
1534205	2368819	
1535803	2368819	
1547452	2368819	
1466128	2368819	
1466452	2368819	
1535305	2368819	
1650982	2368819	
1652057	2368819	
1680316	2368819	
1861755	2368819	
1688243	2368819	
1696551	2368819	
1857225	2368819	
1729813	2368819	
1733202	2368819	
1736107	2368819	
1712754	2368819	
1802985	2368819	
1753875	2368819	
1753887	2368819	
1823306	2368819	
1877046	2368819	
1860749	2368819	
1861742	2368819	
1834215	2368819	
1834985	2368819	
1824270	2368819	
1824271	2368819	
1913312	2368819	
2065188	2368819	
2129992	2368819	
2187172	2368819	
2368670	2368819	
2368671	2368819	
2368680	2368819	
2368692	2368819	
2368694	2368819	
2368698	2368819	
2368722	2368819	
2368728	2368819	
2368731	2368819	
2368734	2368819	
2368741	2368819	
2368743	2368819	
2368747	2368819	
2368748	2368819	
2368749	2368819	
2368752	2368819	
2368757	2368819	
2368761	2368819	
2368764	2368819	
2368769	2368819	
2368770	2368819	
2368772	2368819	
2368773	2368819	
2368781	2368819	
2368788	2368819	
2368792	2368819	
2368793	2368819	
2368795	2368819	
2368797	2368819	
2368798	2368819	
2368799	2368819	
2368800	2368819	
2368801	2368819	
2368804	2368819	
2368808	2368819	
2368810	2368819	
2368812	2368819	
2368815	2368819	
2368819	2368837	
2368819	2368846	
2368819	2368853	
2368819	2368855	
2368819	2368856	
2368819	2368860	
2368819	2368863	
2368819	2368865	
2368819	2368869	
2368819	2368872	
2368819	2368879	
2368819	2368880	
2368819	2368884	
2368819	2368891	
2368819	2368892	
2368819	2368895	
2368819	2368899	
2368819	2368906	
2368819	2368908	
2368819	2368914	
2368819	2368916	
2368819	2368929	
2368819	2368930	
2368819	2368939	
2368819	2368952	
2368819	2368956	
2368819	2368982	
2368819	2368983	
2368819	2662446	
2368819	2663223	
2368819	2957810	
2368819	3021659	
2368819	3021837	
2368819	3021963	
26292	73211	
1113	73211	
36845	917625	
32769	73211	
46316	73211	
46331	73211	
46440	73211	
42713	1263616	
43031	73211	
43296	1545156	
55684	2065188	
55698	2129992	
55771	1535305	
42179	991136	
42230	1003729	
42306	1368481	
42431	1217760	
42433	1131817	
42550	1331123	
42565	1180667	
42573	1131817	
42592	1545156	
42599	1353437	
42604	73211	
42604	1263616	
42605	1223460	
42605	1224213	
42652	1316921	
42677	1398761	
42683	1288378	
42791	73211	
42794	1363485	
42798	1385446	
42809	1356581	
42809	1356909	
42809	1357167	
42809	1358777	
42854	1411259	
42854	1411269	
42854	1411270	
42854	1411495	
42939	1483021	
42953	1415995	
43048	1644647	
43053	1534205	
43062	1535803	
43063	1547452	
43076	1180667	
43080	1353437	
43080	1466128	
43080	1466452	
43124	1535305	
43404	73211	
43404	1650982	
43404	1652057	
43441	1217760	
43441	1331123	
43465	1680316	
43493	1861755	
43543	1688243	
43548	1356581	
43586	1696551	
43588	1547452	
43588	1857225	
43606	1217760	
43608	1729813	
43608	1733202	
43608	1736107	
43643	1712754	
43665	1217760	
43700	1802985	
43744	2368671	
43788	1411269	
43788	1753875	
43788	1753887	
43795	1736107	
43805	1736107	
43820	1823306	
43902	1180667	
43994	1331123	
44052	1877046	
44069	1860749	
44106	1861742	
44115	1834215	
44115	1834985	
44151	1824270	
44151	1824271	
51985	1736107	
45528	1913312	
57480	2187172	
54817	73211	
73211	116298	
73211	186096	
73211	195579	
73211	218523	
73211	249101	
73211	353194	
73211	356325	
73211	357018	
73211	358374	
73211	361721	
73211	382659	
73211	385509	
73211	436887	
73211	468380	
73211	477924	
73211	478634	
73211	483601	
73211	485782	
73211	493796	
73211	507246	
73211	525999	
73211	541960	
73211	622790	
73211	679845	
73211	693310	
73211	710035	
73211	722833	
73211	728823	
73211	729641	
73211	844950	
73211	865154	
73211	994043	
73211	998980	
73211	1001640	
73211	1006008	
73211	1012483	
73211	1015130	
73211	1025482	
73211	1030838	
73211	1079470	
73211	1116641	
73211	1127527	
73211	1164499	
73211	1166909	
73211	1167207	
73211	1180597	
73211	1199201	
73211	1214965	
73211	1215674	
73211	1249631	
73211	1263616	
73211	1267379	
73211	1273470	
73211	1281965	
73211	1292969	
73211	1312818	
73211	1321692	
73211	1332546	
73211	1342181	
73211	1345028	
73211	1355061	
73211	1355248	
73211	1355687	
73211	1356581	
73211	1356791	
73211	1387241	
73211	1387569	
73211	1388913	
73211	1392060	
73211	1397018	
73211	1407412	
73211	1410033	
73211	1413050	
73211	1413238	
73211	1421440	
73211	1440305	
73211	1452164	
73211	1471395	
73211	1481614	
73211	1521360	
73211	1528740	
73211	1534205	
73211	1536026	
73211	1536425	
73211	1547452	
73211	1574672	
73211	1575425	
73211	1580640	
73211	1587144	
73211	1607738	
73211	1607817	
73211	1607819	
73211	1607851	
73211	1609578	
73211	1625865	
73211	1637759	
73211	1637966	
73211	1643149	
